id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
evlampia_025,ЕР,Евлампия Романова,Шопинг в воздушном замке,2008,ЕР_Шопинг в воздушном замке.txt,txt ЕвлампияРоманова/25 Шопинг в воздушном замке.txt,evlampia/ЕР_Шопинг в воздушном замке.txt,40360,36991,4926,250625,74282,0.498,,да,
sergeeva_009,ТС,Татьяна Сергеева,Агент 013,2010,ТС_Агент 013.txt,txt ТатьянаСергеева/08 Агент 013.txt,sergeeva/ТС_Агент 013.txt,39863,36992,4332,252258,77664,0.476,,да,
dasha_069,ДВ,Даша Васильева,Ананас на ёлке,2023,ДВ_Ананас на ёлке.txt,txt ДашаВасильева/68 Ананас на ёлке.txt,dasha/ДВ_Ананас на ёлке.txt,39578,36992,4678,251443,46225,0.8,,да,
podushkin_025,ИП,Иван Подушкин,Гнездо перелетного сфинкса,2018,ИП_Гнездо перелетного сфинкса.txt,txt ИванПодушкин/25 Гнездо перелетного сфинкса.txt,podushkin/ИП_Гнездо перелетного сфинкса.txt,39507,36992,4597,248977,48954,0.756,,да,
dasha_004,ДВ,Даша Васильева,Дама с коготками,1999,ДВ_Дама с коготками.txt,txt ДашаВасильева/03 Дама с коготками.txt,dasha/ДВ_Дама с коготками.txt,38851,36992,4064,253622,89146,0.415,,да,
sergeeva_030,ТС,Татьяна Сергеева,Лазурный берег болота,2020,ТС_Лазурный берег болота.txt,txt ТатьянаСергеева/29 Лазурный берег болота.txt,sergeeva/ТС_Лазурный берег болота.txt,39426,36992,4762,247598,51056,0.725,,да,
viola_012,ВТ,Виола Тараканова,Любимые забавы папы Карло,2004,ВТ_Любимые забавы папы Карло.txt,txt ВиолаТараканова/12 Любимые забавы папы Карло.txt,viola/ВТ_Любимые забавы папы Карло.txt,39675,36992,4349,247950,76668,0.482,,да,
sergeeva_024,ТС,Татьяна Сергеева,Оберег от испанской страсти,2017,ТС_Оберег от испанской страсти.txt,txt ТатьянаСергеева/23 Оберег от испанской страсти.txt,sergeeva/ТС_Оберег от испанской страсти.txt,39049,36992,4493,248627,58729,0.63,,да,
kozlova_013,СК,Степанида Козлова,Презентация ящика Пандоры,2018,СК_Презентация ящика Пандоры.txt,txt СтепанидаКозлова/13 Презентация ящика Пандоры.txt,kozlova/СК_Презентация ящика Пандоры.txt,39946,36992,4981,249421,57244,0.646,,да,
dasha_055,ДВ,Даша Васильева,Родословная до седьмого полена,2017,ДВ_Родословная до седьмого полена.txt,txt ДашаВасильева/54 Родословная до седьмого полена.txt,dasha/ДВ_Родословная до седьмого полена.txt,39408,36992,4553,246887,64215,0.576,,да,
sergeeva_017,ТС,Татьяна Сергеева,Сбылась мечта бегемота,2014,ТС_Сбылась мечта бегемота.txt,txt ТатьянаСергеева/16 Сбылась мечта бегемота.txt,sergeeva/ТС_Сбылась мечта бегемота.txt,39015,36992,4209,250029,61760,0.599,,да,
kozlova_007,СК,Степанида Козлова,Укротитель Медузы горгоны,2013,СК_Укротитель Медузы горгоны.txt,txt СтепанидаКозлова/07 Укротитель Медузы горгоны.txt,kozlova/СК_Укротитель Медузы горгоны.txt,39131,36992,4416,249053,67287,0.55,,да,
evlampia_010,ЕР,Евлампия Романова,Фиговый листочек от кутюр,2002,ЕР_Фиговый листочек от кутюр.txt,txt ЕвлампияРоманова/10 Фиговый листочек от кутюр.txt,evlampia/ЕР_Фиговый листочек от кутюр.txt,39082,36992,3976,248404,70371,0.526,,да,
