id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
dasha_020,Дарья Донцова,Жаба с кошельком,Даша Васильева,ДВ,2003,dasha,ДВ_Жаба с кошельком.txt,txt ДашаВасильева/19 Жаба с кошельком.txt,dasha/ДВ_Жаба с кошельком.txt
dasha_007,Дарья Донцова,Жена моего мужа,Даша Васильева,ДВ,2000,dasha,ДВ_Жена моего мужа.txt,txt ДашаВасильева/06 Жена моего мужа.txt,dasha/ДВ_Жена моего мужа.txt
dasha_003,Дарья Донцова,За всеми зайцами,Даша Васильева,ДВ,1999,dasha,ДВ_За всеми зайцами.txt,txt ДашаВасильева/02 За всеми зайцами.txt,dasha/ДВ_За всеми зайцами.txt
dasha_059,Дарья Донцова,Змеиный гаджет,Даша Васильева,ДВ,2019,dasha,ДВ_Змеиный гаджет.txt,txt ДашаВасильева/58 Змеиный гаджет.txt,dasha/ДВ_Змеиный гаджет.txt
dasha_001,Дарья Донцова,Игра в жмурики,Даша Васильева,ДВ,1999,dasha,ДВ_Игра в жмурики.txt,txt ДашаВасильева/01 Игра в жмурики.txt,dasha/ДВ_Игра в жмурики.txt
dasha_073,Дарья Донцова,Ипотека на Марсе,Даша Васильева,ДВ,2025,dasha,ДВ_Ипотека на Марсе.txt,txt ДашаВасильева/72. Ипотека на Марсе.txt,dasha/ДВ_Ипотека на Марсе.txt
dasha_067,Дарья Донцова,Кактус второй свежести,Даша Васильева,ДВ,2022,dasha,ДВ_Кактус второй свежести.txt,txt ДашаВасильева/66 Кактус второй свежести.txt,dasha/ДВ_Кактус второй свежести.txt
dasha_023,Дарья Донцова,Камин для Снегурочки,Даша Васильева,ДВ,2004,dasha,ДВ_Камин для Снегурочки.txt,txt ДашаВасильева/22 Камин для Снегурочки.txt,dasha/ДВ_Камин для Снегурочки.txt
dasha_077,Дарья Донцова,Кекс от сапожника (в кн. Новогодний детектив 2015),Даша Васильева,ДВ,2015,dasha,ДВ_Кекс от сапожника (в кн. Новогодний детектив 2015).txt,txt ДашаВасильева/Кекс от сапожника (в кн. Новогодний детектив 2015).txt,dasha/ДВ_Кекс от сапожника (в кн. Новогодний детектив 2015).txt
dasha_037,Дарья Донцова,Клетчатая зебра,Даша Васильева,ДВ,2009,dasha,ДВ_Клетчатая зебра.txt,txt ДашаВасильева/36 Клетчатая зебра.txt,dasha/ДВ_Клетчатая зебра.txt
dasha_066,Дарья Донцова,Коза и семеро волчат,Даша Васильева,ДВ,2021,dasha,ДВ_Коза и семеро волчат.txt,txt ДашаВасильева/65 Коза и семеро волчат.txt,dasha/ДВ_Коза и семеро волчат.txt
dasha_026,Дарья Донцова,Компот из запретного плода,Даша Васильева,ДВ,2005,dasha,ДВ_Компот из запретного плода.txt,txt ДашаВасильева/25 Компот из запретного плода.txt,dasha/ДВ_Компот из запретного плода.txt
dasha_009,Дарья Донцова,Контрольный поцелуй,Даша Васильева,ДВ,2000,dasha,ДВ_Контрольный поцелуй.txt,txt ДашаВасильева/08 Контрольный поцелуй.txt,dasha/ДВ_Контрольный поцелуй.txt
dasha_002,Дарья Донцова,Крутые наследнички,Даша Васильева,ДВ,1999,dasha,ДВ_Крутые наследнички.txt,txt ДашаВасильева/01 Крутые наследнички.txt,dasha/ДВ_Крутые наследнички.txt
dasha_040,Дарья Донцова,Лебединое озеро Ихтиандра,Даша Васильева,ДВ,2010,dasha,ДВ_Лебединое озеро Ихтиандра.txt,txt ДашаВасильева/39 Лебединое озеро Ихтиандра.txt,dasha/ДВ_Лебединое озеро Ихтиандра.txt
dasha_035,Дарья Донцова,Легенда о трех мартышках,Даша Васильева,ДВ,2009,dasha,ДВ_Легенда о трех мартышках.txt,txt ДашаВасильева/34 Легенда о трех мартышках.txt,dasha/ДВ_Легенда о трех мартышках.txt
dasha_031,Дарья Донцова,Личное дело женщины-кошки,Даша Васильева,ДВ,2007,dasha,ДВ_Личное дело женщины-кошки.txt,txt ДашаВасильева/30 Личное дело женщины-кошки.txt,dasha/ДВ_Личное дело женщины-кошки.txt
dasha_039,Дарья Донцова,Любовница египетской мумии,Даша Васильева,ДВ,2010,dasha,ДВ_Любовница египетской мумии.txt,txt ДашаВасильева/38 Любовница египетской мумии.txt,dasha/ДВ_Любовница египетской мумии.txt
dasha_030,Дарья Донцова,Лягушка Баскервилей,Даша Васильева,ДВ,2007,dasha,ДВ_Лягушка Баскервилей.txt,txt ДашаВасильева/29 Лягушка Баскервилей.txt,dasha/ДВ_Лягушка Баскервилей.txt
dasha_046,Дарья Донцова,Медовое путешествие втроем,Даша Васильева,ДВ,2013,dasha,ДВ_Медовое путешествие втроем.txt,txt ДашаВасильева/45 Медовое путешествие втроем.txt,dasha/ДВ_Медовое путешествие втроем.txt
dasha_032,Дарья Донцова,Метро до Африки,Даша Васильева,ДВ,2008,dasha,ДВ_Метро до Африки.txt,txt ДашаВасильева/31 Метро до Африки.txt,dasha/ДВ_Метро до Африки.txt
dasha_063,Дарья Донцова,Мокрое дело водяного,Даша Васильева,ДВ,2020,dasha,ДВ_Мокрое дело водяного.txt,txt ДашаВасильева/62 Мокрое дело водяного.txt,dasha/ДВ_Мокрое дело водяного.txt
dasha_042,Дарья Донцова,Мыльная сказка Шахерезады,Даша Васильева,ДВ,2011,dasha,ДВ_Мыльная сказка Шахерезады.txt,txt ДашаВасильева/41 Мыльная сказка Шахерезады.txt,dasha/ДВ_Мыльная сказка Шахерезады.txt
